date,EURIBOR 3 mois,EURIBOR 6 mois,EUR/USD mensuel,EUR/GBP mensuel,EUR/JPY mensuel
2022-08,0.3947391,0.8370435,1.0128434782609,0.8449882608696,136.8547826086957
2022-09,1.0108636,1.5960909,0.9903772727273,0.8746295454545,141.5681818181818
2022-10,1.4276667,1.997381,0.9825666666667,0.8705766666667,144.7252380952381
2022-11,1.8252273,2.3212273,1.0201272727273,0.8689209090909,145.1240909090909
2022-12,2.0634762,2.5603333,1.058880952381,0.8695,142.8223809523809
2023-01,2.3448636,2.8578636,1.0769,0.8821231818182,140.5440909090909
2023-02,2.64035,3.13535,1.07151,0.8855,142.377
2023-03,2.9105652,3.2674348,1.0705826086957,0.8819204347826,143.01
2023-04,3.1794444,3.5156111,1.0967722222222,0.88115,146.5111111111111
2023-05,3.3717273,3.6817727,1.08675,0.870405,148.9254545454546
2023-06,3.5358636,3.8252727,1.0839863636364,0.8586063636364,153.1486363636364
2023-07,3.6718095,3.9424762,1.1058142857143,0.8585561904762,155.9371428571429
2023-08,3.7803043,3.9444783,1.0908869565217,0.8589208695652,157.9621739130435
2023-09,3.8800476,4.0303333,1.068380952381,0.8615842857143,157.7952380952381
2023-10,3.9676364,4.1148182,1.0562545454545,0.8679836363636,158.0377272727273
2023-11,3.9716364,4.0646818,1.0808227272727,0.8704540909091,161.8440909090909
2023-12,3.9348947,3.9269474,1.0903052631579,0.8616826315789,157.2126315789474
2024-01,3.9252727,3.8916818,1.0905136363636,0.8587309090909,159.4581818181818
2024-02,3.9231905,3.9005238,1.0794714285714,0.8546623809524,161.3771428571428
2024-03,3.9231,3.8948,1.08722,0.8552375,162.7725
2024-04,3.8853333,3.8382381,1.0727761904762,0.8565766666667,165.0295238095238
2024-05,3.8126818,3.7866364,1.0812227272727,0.8556404545455,168.5363636363636
2024-06,3.7245,3.7149,1.0759,0.8464315,169.813
2024-07,3.6848261,3.6435652,1.0844086956522,0.843317826087,171.1708695652174
2024-08,3.5475909,3.4249091,1.1012181818182,0.8515036363636,161.0554545454545
2024-09,3.4337143,3.2578095,1.1106,0.8402123809524,159.0809523809524
2024-10,3.1666087,3.0016087,1.0904347826087,0.8349586956522,163.1969565217391
2024-11,3.0067619,2.7875238,1.0630142857143,0.8337876190476,163.2338095238095
2024-12,2.8246,2.63215,1.047875,0.828042,161.0835
2025-01,2.7042727,2.6144091,1.0353727272727,0.8390809090909,161.9213636363637
2025-02,2.52495,2.4596,1.04125,0.83071,158.087
2025-03,2.4424286,2.385381,1.080680952381,0.8370252380952,161.1666666666667
2025-04,2.2494,2.2017,1.121395,0.8537865,161.6705
2025-05,2.0872381,2.1161905,1.1278047619047618,0.8434952380952383,163.1442857142857
2025-06,1.983619,2.0496667,1.1516190476190478,0.8498095238095237,166.5233333333333
2025-07,1.9863478,2.0553478,1.1676869565217392,0.8646869565217391,171.5313043478261
2025-08,2.0210952,2.0844286,1.1631428571428577,0.8652761904761904,171.7895238095238
2025-09,2.0272727,2.1023182,1.1732227272727274,0.8689454545454546,173.54863636363643
2025-10,2.0344348,2.1068261,1.1630434782608696,0.8715521739130435,176.1526086956522
2025-11,2.04165,2.131,1.15602,0.8799649999999998,179.31599999999997
2025-12,2.0484286,2.1394762,1.1708714285714283,0.875,182.49714285714285
2026-01,2.0277273,2.1371429,1.1738238095238096,0.8682809523809522,183.93857142857144
2026-02,2.0113,2.1435,1.182395,0.870315,183.45150000000004
2026-03,2.1094091,2.3219545,1.155831818181818,0.8663109090909092,183.3990909090909
2026-04,2.1753,2.45375,1.17064,0.8693330000000001,186.206
2026-05,2.2261,2.5364,1.16732,0.865648,184.7095
2026-06,2.339,2.5955,1.1518,0.8637199999999999,185.1140909090909
